Stimulus,Standard_Time_Condition,Comp_Time_Condition,Response
default.jpg,1,0.5,shorter
default.jpg,1,1,longer
default.jpg,1,1,longer
default.jpg,1,1,shorter
default.jpg,2,2.5,shorter
default.jpg,1,1.5,shorter
default.jpg,2,1.5,shorter
default.jpg,2,2,longer
default.jpg,1,1,longer
default.jpg,2,2.5,shorter
default.jpg,1,1.5,longer
default.jpg,1,1.5,longer
default.jpg,2,2,shorter
default.jpg,1,1.5,longer
default.jpg,2,2,longer
default.jpg,2,2,shorter
default.jpg,2,1.5,shorter
default.jpg,1,0.5,shorter
default.jpg,1,1,longer
default.jpg,1,1.5,longer
default.jpg,1,1,longer
default.jpg,2,2.5,longer
default.jpg,2,2.5,longer
default.jpg,2,2.5,shorter
default.jpg,1,0.5,shorter
default.jpg,1,1,longer
default.jpg,1,0.5,shorter
default.jpg,1,0.5,shorter
default.jpg,2,2.5,longer
default.jpg,2,2.5,longer
default.jpg,1,1.5,longer
default.jpg,2,2.5,longer
default.jpg,2,2.5,shorter
default.jpg,2,2,longer
default.jpg,2,1.5,shorter
default.jpg,1,1,longer
default.jpg,2,1.5,shorter
default.jpg,2,1.5,shorter
default.jpg,2,1.5,longer
default.jpg,2,2,longer
default.jpg,1,0.5,shorter
default.jpg,1,0.5,shorter
default.jpg,2,1.5,longer
default.jpg,2,1.5,longer
default.jpg,1,0.5,shorter
default.jpg,2,2,shorter
default.jpg,2,1.5,shorter
default.jpg,1,1.5,shorter
default.jpg,2,2.5,longer
default.jpg,1,0.5,shorter
default.jpg,1,1,shorter
default.jpg,1,1.5,longer
default.jpg,1,1.5,longer
default.jpg,2,2,longer
default.jpg,2,1.5,shorter
default.jpg,2,2,shorter
default.jpg,1,0.5,shorter
default.jpg,2,2,longer
default.jpg,1,1,longer
default.jpg,1,1.5,longer
